Microbe,Mean_Diff,P-value,Test_Statistic,Distributions_Similar,Shapes_Similar,Recommendation,Corrected_P_value
Candidatus Saccharimonas,-0.001512532205157742,0.028859521364135582,4305.0,True,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Capnocytophaga,0.0011473755716996572,0.9324243155663192,5395.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Cardiobacterium,-2.3136711103405208e-05,0.1767147859859397,6141.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Catonella,-0.001202929927454386,0.011905109160153233,4134.0,False,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Cellulomonas,9.81333849814581e-06,0.1577708019548456,4706.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Christensenellaceae R-7 group,3.2850219887711892e-06,0.6729898556640587,5220.0,True,True,Mann-Whitney assumptions satisfied,0.8650073156309008
Chryseobacterium,2.5428979353964863e-05,0.548941545940835,5751.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Cloacibacterium,1.8005313818473643e-05,0.43396354967529005,5846.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Clostridium sensu stricto 1,3.289815000195032e-05,0.7461174838116513,5608.0,True,True,Mann-Whitney assumptions satisfied,0.88531850691084
Clostridium sensu stricto 18,-1.8972902528616567e-05,0.46514946393985857,5060.0,True,True,Mann-Whitney assumptions satisfied,0.7785133133309212
Colidextribacter,-2.0966275555368463e-05,0.11989401334529957,4632.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Comamonas,-4.031271350717969e-05,0.45928198922354724,5824.0,True,True,Mann-Whitney assumptions satisfied,0.7785133133309212
Conchiformibius,0.001123419255455318,0.3753514506525981,5900.0,True,True,Mann-Whitney assumptions satisfied,0.7480758465542455
Coprococcus,7.1831982955011966e-06,0.5709960197023674,5145.0,True,True,Mann-Whitney assumptions satisfied,0.7898543712603023
Corynebacterium,0.0017289573008521506,0.16468598801907375,4718.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Cupriavidus,0.0005335184842299705,0.22250556676192546,6073.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Cutibacterium,1.3621903658654101e-06,0.16351787072512214,4716.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Denitratisoma,-8.365189910020565e-05,0.47224511199443464,5813.0,True,True,Mann-Whitney assumptions satisfied,0.7799444596821102
Dialister,-5.06386898155855e-05,0.1034293517103286,4594.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Dietzia,3.738749072143451e-05,0.3569550119287912,5918.0,True,True,Mann-Whitney assumptions satisfied,0.7370889207360753
Dorea,-3.0303435918333065e-05,0.07751686740046092,4523.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Eikenella,0.0014131345628023793,0.23139748629760792,6061.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Enterobacter,0.0003040300389662039,0.103021657893632,6286.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Enterococcus,0.0006289981357912528,0.5110769060773063,5098.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Erysipelatoclostridium,4.5128897034011625e-06,0.5515142254342591,5130.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Erysipelothrix,-0.00018789678620332868,0.37639036304616125,4980.0,True,True,Mann-Whitney assumptions satisfied,0.7480758465542455
Erysipelotrichaceae UCG-003,-3.51698270273977e-05,0.4373678164238962,5036.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Erysipelotrichaceae UCG-007,2.153347988468105e-05,0.9446889137740757,5403.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Escherichia-Shigella,6.099284867717037e-05,0.4854072763157429,5077.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Family XIII UCG-001,-6.203571235185938e-06,0.8698817806073722,5525.0,True,True,Mann-Whitney assumptions satisfied,0.9604944660873068
Ferritrophicum,-7.379396515617336e-06,0.1274128043034185,6231.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Finegoldia,4.864744378254844e-05,0.9262978443434506,5391.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Frederiksenia,-0.00017390141780667702,0.1641011463048042,4717.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Fusobacterium,0.010738760678759963,0.19134353620974942,6118.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Gallibacterium,1.8514223432408134e-05,0.5210391019255974,5773.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Gallionella,-0.00015478009580414736,0.22544194608380974,6069.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Gemella,0.001020521549332118,0.9769384364654136,5455.0,True,True,Mann-Whitney assumptions satisfied,0.9953870706115624
Geobacillus,2.2828504541793672e-05,0.6800371978230353,5225.0,True,True,Mann-Whitney assumptions satisfied,0.8650073156309008
Granulicatella,0.00011977088411112974,0.8336204491447134,5549.0,True,True,Mann-Whitney assumptions satisfied,0.9467546529572103
Haemophilus,0.008703017611246804,0.5723063671842494,5146.0,True,True,Mann-Whitney assumptions satisfied,0.7898543712603023
Herbaspirillum,5.776123885501024e-05,0.14566752866437718,6195.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Iamia,6.546536562768786e-06,0.2620293723950857,4857.0,True,True,Mann-Whitney assumptions satisfied,0.6675391026116393
Izimaplasma,4.604171598004949e-06,0.9492916778928013,5473.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Jatrophihabitans,-1.7526478768962397e-05,0.17795277314901536,4740.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Jeotgalibaca,0.0005075219193120886,0.28829675136357646,5991.0,True,True,Mann-Whitney assumptions satisfied,0.6841669174150545
Johnsonella,0.00030047986511006386,0.6326958779010932,5688.0,True,True,Mann-Whitney assumptions satisfied,0.8453667612291917
Kerstersia,0.00010240117480598109,0.031045211567088723,6559.0,True,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Kingella,0.0032938429722159483,0.2830789214282098,5997.0,True,True,Mann-Whitney assumptions satisfied,0.6819628561679599
Klebsiella,0.00011774981740677451,0.2822155434683954,5998.0,True,True,Mann-Whitney assumptions satisfied,0.6819628561679599
Kocuria,4.141933277196208e-05,0.9892367645870959,5432.0,True,True,Mann-Whitney assumptions satisfied,0.9953870706115624
Lachnoanaerobaculum,-0.0009921381673028292,0.08845397616452784,4555.0,True,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Lachnoclostridium,5.9626996639642466e-05,0.8111304618166274,5315.0,True,True,Mann-Whitney assumptions satisfied,0.9345633581800272
Lachnospira,8.046579782724015e-06,0.9600377783321223,5466.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Lachnospiraceae ND3007 group,-3.0537288478416088e-06,0.47581517351675906,5069.0,True,True,Mann-Whitney assumptions satisfied,0.7799444596821102
Lachnospiraceae NK4A136 group,-2.586888443418552e-05,0.4283239369886662,5028.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Lachnospiraceae UCG-001,2.630240544787462e-05,0.48782155492862156,5800.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Lachnospiraceae UCG-004,-1.076888633646313e-05,0.6109131691042656,5175.0,True,True,Mann-Whitney assumptions satisfied,0.825000893603445
Lactobacillus,-0.0007943451951742827,0.8987879620387046,5373.0,True,True,Mann-Whitney assumptions satisfied,0.9855674894079588
Lactococcus,2.4247027369433136e-05,0.5412592219152679,5757.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Lautropia,0.0004002878062530045,0.7388332799980428,5266.0,True,True,Mann-Whitney assumptions satisfied,0.8832668535314948
Lawsonella,-8.255088672909881e-05,0.23365937305349338,4821.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
