Microbe,Mean_Diff,P-value,Test_Statistic,Distributions_Similar,Shapes_Similar,Recommendation,Corrected_P_value
Moraxella,-0.0026734333703927146,0.06032763014051968,3765.0,True,False,Consider permutation test instead of Mann-Whitney,0.9049144521077952
Mycobacterium,0.0003111144582965388,0.7761035634286921,4474.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Neisseria,-0.00406925815271113,0.8634460463039629,4678.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Nocardia,-0.0001937890916420475,0.36432296347352044,5005.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Nocardioides,0.001572915716025607,0.5687286467388776,4855.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Oribacterium,-2.9719164305018367e-05,0.8581466971248739,4681.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Paenibacillus,-0.00021127357886101773,0.535662220117821,4325.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Peptoniphilus,-0.00025336969515778705,0.7300173558898646,4447.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Porphyromonas,-0.002482399962871761,0.19262733045216363,4021.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Prauserella,-1.424395347464271e-05,0.7692215588299542,4470.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Prevotella,0.006933967572919319,0.18136323242260588,4006.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Propionibacterium,4.882694276017003e-05,0.31329671800657144,5050.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Propioniciclava,0.0006142870699599574,0.11843132577425299,5296.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Propionicimonas,-0.0008089391911646907,0.6700797759116855,4791.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Pseudomonas,-0.0010491039583599288,0.3537227510012948,4188.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Pseudonocardia,5.028581503216956e-05,0.8160011838815804,4497.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Ralstonia,-0.0032590098714401585,0.9722013615577209,4585.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Rhodococcus,-0.0026794620546952788,0.05113624400384452,5469.0,True,True,Mann-Whitney assumptions satisfied,0.9049144521077952
Rothia,-0.0002267014439150221,0.4306951559431532,4250.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Rubrobacter,7.186775076601799e-06,0.8882538724161828,4664.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Salinicoccus,0.0010948842450903469,0.006588075200071918,5810.0,False,False,Consider permutation test instead of Mann-Whitney,0.41863399996967443
Sphingomonas,-0.002833122843292856,0.678290222684997,4416.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Spirochaeta 2,-1.1590085995814442e-05,0.7899199294980177,4482.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Staphylococcus,0.09212254033251863,0.05140462145248406,5468.0,False,True,Consider permutation test instead of Mann-Whitney,0.9049144521077952
Stomatobaculum,0.0004214275778442971,0.7795512066644674,4476.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Streptococcus,-0.001624165751679934,0.8370154688261439,4693.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Streptomyces,0.002158990964992424,0.35723429110193117,5011.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Tessaracoccus,0.00011050512647979213,0.6184969385312611,4823.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Turicibacter,0.00013623178258942743,0.013954466665655814,5695.0,True,False,Consider permutation test instead of Mann-Whitney,0.41863399996967443
Veillonella,0.0024126369703467414,0.9865469609957779,4593.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
hgcI clade,0.00022746142873842333,0.9060424765733996,4654.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
